state;value
0 0 ;1.9923380772135253
2097280 256 ;1.877077393408
2097280 4398046511360 ;1.8617320447999999
128 256 ;1.9617995753449782
128 0 ;1.9773432064240895
4398046511104 1 ;1.9229970417055284
4398048608258 129 ;1.0848
4398048608258 133 ;-1.0
4398048608256 129 ;-0.9086720000000001
4398048608256 1 ;-0.8335800636484145
4398046511106 129 ;1.2339200000000001
4432408346626 49281 ;1.2000000000000002
4432676782082 49281 ;1.0
4432408346626 16513 ;1.2800000000000002
4398048608258 16513 ;1.3120000000000003
4398314946562 2097281 ;-1.2800000000000002
4432674684930 2097281 ;-1.2000000000000002
4432674684930 2113665 ;-1.0
4398314962946 6291585 ;-1.3248000000000002
4433211572226 8796099313793 ;-1.2000000000000002
4433211572226 8864818790529 ;-1.0
4398851833858 8796099313793 ;-1.2800000000000002
4398851833858 6291585 ;-1.3120000000000003
4432674701314 14680193 ;-1.2800000000000002
4501394178050 14680193 ;-1.2000000000000002
4501394178050 31457409 ;-1.0
4432691478530 551551105 ;1.3120000000000003
4501410955266 585105537 ;1.2000000000000002
4502484697090 585105537 ;1.0
4501410955266 551551105 ;1.2800000000000002
4433765220354 69271027841 ;-1.2800000000000002
4433765220610 69271027841 ;-1.2000000000000002
4433765220610 69271060609 ;-1.0
2097154 1 ;-1.072
2097154 4398046511105 ;-1.0
2097152 1 ;1.9858999119224456
2097152 0 ;1.9881309430531657
4398046527488 32769 ;-1.2000000000000002
4398046527490 32769 ;-1.0
4398046527488 1 ;-1.2800000000000002
4398046511106 16385 ;-1.3248000000000002
4432674684930 16389 ;-1.2000000000000002
4432674684930 16517 ;-1.0
4432406249474 16389 ;-1.2800000000000002
4432406249474 16385 ;-1.3120000000000003
4398046511234 49153 ;-1.3120000000000003
4432406249602 49409 ;-1.2000000000000002
4432406249606 49409 ;-1.0
4432406249602 49153 ;-1.2800000000000002
4398046511238 114689 ;-1.2800000000000002
4398048608390 114689 ;-1.2000000000000002
4398048608390 245761 ;-1.0
4398046642310 114945 ;1.3299200000000002
4432406380686 377601 ;1.2000000000000002
4432406380702 377601 ;1.0
4432406380686 377089 ;1.2800000000000002
4432406380678 377089 ;1.3120000000000003
4432406380678 114945 ;1.3248000000000002
4398046642318 114961 ;1.3299200000000002
4501125857422 8796093399313 ;1.2000000000000002
4501127954574 8796093399313 ;1.0
4501125857422 377105 ;1.2800000000000002
4432406380686 377105 ;1.3120000000000003
4432406380686 114961 ;1.3248000000000002
4398048739470 4309265 ;-1.2800000000000002
4398317174926 4309265 ;-1.2000000000000002
4398317174926 541180177 ;-1.0
4398046511104 16384 ;1.917526993784013
4398046543872 16384 ;-1.0
4398046511104 0 ;1.8224327762813377
16384 128 ;1.85494370418688
16641 268435584 ;-1.091968
16641 268435586 ;1.0
16640 268435584 ;1.2800000000000002
16640 128 ;1.51488
16385 130 ;1.6457523200000002
114689 2097282 ;1.52
114689 34361835650 ;1.0
49153 2097282 ;1.6640000000000001
49153 130 ;-1.0496000000000003
34359754753 268435586 ;1.3120000000000003
34359787521 4398314946690 ;1.2000000000000002
34359787777 4398314946690 ;1.0
34359787521 268435586 ;1.2800000000000002
34359755009 268436098 ;1.3299200000000002
240518185217 4398314948226 ;1.2000000000000002
515396092161 4398314948226 ;1.0
240518185217 4398314947202 ;1.2800000000000002
103079231745 4398314947202 ;1.3120000000000003
103079231745 268436098 ;1.3248000000000002
103079231745 268436102 ;1.2800000000000002
103616102657 268436102 ;1.2000000000000002
103616102657 270533254 ;1.0
103081328897 268436110 ;-1.2800000000000002
103081329921 268436110 ;-1.2000000000000002
103081329921 268436126 ;-1.0
103081328913 272630414 ;1.3120000000000003
240520282385 272663182 ;1.2000000000000002
515398189329 272663182 ;1.0
240520282385 272630414 ;1.2800000000000002
240520282385 275150537358 ;-1.3248000000000002
240528703761 275687408270 ;-1.2000000000000002
240528703761 275687409294 ;-1.0
240528670993 275687408270 ;-1.2800000000000002
240528670993 275150537358 ;-1.3120000000000003
240520283409 275150570126 ;1.3299200000000002
241065542929 1924418011790 ;1.2000000000000002
241065542961 1924418011790 ;1.0
241065542929 824906384014 ;1.2800000000000002
240528672017 824906384014 ;1.3120000000000003
240528672017 275150570126 ;1.3248000000000002
240520283441 275158958734 ;-1.2800000000000002
4638566794545 275158958734 ;-1.2000000000000002
4638566794545 275159024270 ;-1.0
240520348977 275175735950 ;-1.2800000000000002
240520351025 275175735950 ;-1.2000000000000002
240520351025 275209290382 ;-1.0
240553903409 275712606862 ;1.3120000000000003
240553905457 275712737934 ;1.2000000000000002
240554167601 275712737934 ;1.0
240553905457 275712606862 ;1.2800000000000002
240554034481 276786348686 ;1.3120000000000003
242701518129 276786610830 ;1.2000000000000002
242702042417 276786610830 ;1.0
242701518129 276786348686 ;1.2800000000000002
2113536 4398046511105 ;1.874980018630656
2113538 4398046511105 ;1.0
2113536 1 ;1.932233824109192
16384 1 ;1.9657122710385369
16384 0 ;1.9845276422096314
1 16384 ;1.956507922166213
34628173825 16768 ;1.6224
34628174337 16768 ;1.0
34628173825 16512 ;1.2800000000000002
34359738369 16512 ;1.83564288
34359738369 16384 ;-1.55685888
129 34359754752 ;1.66710532374528
32899 34361851904 ;-1.2000000000000002
32899 34630287360 ;-1.0
32897 34361851904 ;-1.3094400000000002
32897 34359754752 ;-1.1138560000000002
268435585 34359787520 ;1.7567232000000002
805372033 34359787522 ;1.2000000000000002
805372033 34359787526 ;1.0
268501121 34359787522 ;1.2800000000000002
268501121 34359787520 ;1.5943680000000002
268435587 34359853056 ;-1.2800000000000002
268435591 34359853056 ;-1.2000000000000002
268435591 34359984128 ;-1.0
268566659 34361950208 ;1.3120000000000003
268566663 34361950464 ;1.2000000000000002
268566671 34361950464 ;1.0
268566663 34361950208 ;1.2800000000000002
268566663 34361950216 ;-1.2800000000000002
268566919 34361950216 ;-1.2000000000000002
268566919 34361950728 ;-1.0
16384 34359738368 ;1.9435680286037975
68719493120 34359738368 ;1.0
34359738368 16384 ;1.615585186041299
4432408346624 16385 ;1.74979928064
4432408346624 68719493121 ;1.0
34361835520 16385 ;1.866565641043968
34361835520 16384 ;1.8052099785359361
103079215104 49152 ;1.6768
240518168576 49153 ;1.2000000000000002
515396075520 49153 ;1.0
240518168576 49152 ;1.536
240518168576 274877956096 ;1.696768
4638566776832 824633770112 ;1.2000000000000002
4638835212288 824633770112 ;1.0
4638566776832 824633769984 ;1.2800000000000002
240520265728 824633769984 ;1.3120000000000003
240520265728 274877956096 ;1.5769600000000001
240786604032 274878021632 ;-1.2800000000000002
240788701184 274878021632 ;-1.2000000000000002
240788701184 274878152704 ;-1.0
240786735104 274878021633 ;1.3120000000000003
4638833246208 274878283777 ;1.2000000000000002
4638835343360 274878283777 ;1.0
4638833246208 274878021633 ;1.2800000000000002
240788832256 4672924532737 ;1.3248000000000002
790544646272 4673461403649 ;1.2000000000000002
790544646272 4673461403651 ;1.0
790544646144 4673461403649 ;1.2800000000000002
790544646144 4672924532737 ;1.3120000000000003
240788832258 4672924532865 ;1.3299200000000002
241329897474 4672925319297 ;1.2000000000000002
241338286082 4672925319297 ;1.0
241329897474 4672924795009 ;1.2800000000000002
241325703170 4672924795009 ;1.3120000000000003
241325703170 4672924532865 ;1.3248000000000002
240793026562 4672924533121 ;1.3120000000000003
241329897474 5222680347009 ;1.2000000000000002
241338286082 5222680347009 ;1.0
241329897474 4672924533121 ;1.2800000000000002
4398048608256 34359738368 ;-0.9833377300480002
4398048608256 34359738496 ;1.813965312
2097152 34359738368 ;-0.8007315442264211
128 2097152 ;1.4484460858859123
4194432 2097153 ;-0.7145290014995254
12583040 2097153 ;1.0
4194432 2097152 ;-0.7050835326373452
4194432 2113536 ;-0.9344329550240156
272629888 538984448 ;-1.2000000000000002
4398319140992 538984448 ;-1.0
272629888 2113536 ;-1.2800000000000002
4398050705536 270548992 ;-1.014016
4501129920640 807419905 ;1.2000000000000002
4502203662464 807419905 ;1.0
4501129920640 270548993 ;1.2800000000000002
4432410443904 270548993 ;1.3120000000000003
4432410443904 270548992 ;1.3248000000000002
268451840 4398046511104 ;1.937425636558123
268451840 4398046511105 ;1.8749940882430514
16384 4398046511104 ;1.968731769792022
1 2 ;1.9668297932638057
2113537 272629762 ;1.2000000000000002
2113665 272629762 ;1.0
2113537 268435458 ;1.4886400000000002
2097153 268435458 ;1.6034560000000002
2097153 2 ;1.934791657953389
129 16386 ;-0.8894812160000001
32901 4398046527490 ;1.2000000000000002
32901 4398046527498 ;1.0
32897 4398046527490 ;1.2800000000000002
32897 16386 ;1.3120000000000003
133 268451842 ;-1.3299200000000002
2130053 13194407985154 ;-1.2000000000000002
2130309 13194407985154 ;-1.0
2130053 4398314962946 ;-1.2800000000000002
2097285 4398314962946 ;-1.3120000000000003
2097285 268451842 ;1.0649600000000001
389 34628190210 ;-1.2800000000000002
901 34628190210 ;-1.2000000000000002
901 34630287362 ;-1.0
2097541 103347666946 ;1.3120000000000003
2098053 103351861250 ;1.2000000000000002
2099077 103351861250 ;1.0
2098053 103347666946 ;1.2800000000000002
2098053 103347667970 ;1.3120000000000003
2098061 4501394179074 ;1.2000000000000002
2130829 4501394179074 ;1.0
2098061 103347667970 ;1.2800000000000002
2130821 103347667978 ;1.3120000000000003
6325125 103347670026 ;1.2000000000000002
543196037 103347670026 ;1.0
6325125 103347667978 ;1.2800000000000002
539001733 103351862282 ;-1.2800000000000002
547390341 103351862282 ;-1.2000000000000002
547390341 103351927818 ;-1.0
539067269 103360250890 ;1.2000000000000002
555844485 103360250890 ;1.0
34361835520 129 ;1.87414232332288
34361835522 129 ;1.0
34361835520 128 ;1.9361658097235475
2097152 128 ;1.9676834497622795
268435461 16386 ;-1.2000000000000002
268435461 16514 ;-1.0
